Year,Country,Municipal waste generated,Municipal waste treated,Other municipal waste,Waste from households
2000,Australia,13200,,,7660
2007,Australia,12798.666,12798.666,,
2008,Australia,13027.542,13027.542,,
2009,Australia,13256.419,13256.419,,
2010,Australia,13515.592,13515.592,,
2011,Australia,13462.519,13462.519,,
2012,Australia,13344.891,13344.891,,
2013,Australia,13227.263,13227.263,,
2014,Australia,13109.635,13109.635,,
2015,Australia,13344.539,13344.539,1335,12010
2000,Austria,4321,4744,1074.8,3246
2001,Austria,4309,4749,1075,3234
2002,Austria,4589,4821,1280,3309
2003,Austria,4607,4950,1280,3327
2004,Austria,4686.7,4625,1268,3418.7
2005,Austria,4731.7,4601.3,1268,3463.7
2006,Austria,4932.5,4834.2,1254.8,3677.7
2007,Austria,4951.1,4859.4,1223,3728
2008,Austria,4996.9,4888.7,1210.9,3786
2009,Austria,4921,4787.6,1026,3895
2010,Austria,4700.8,4581.7,912.3,3788.5
2011,Austria,4806.9,4631.7,859.7,3947.2
2012,Austria,4883.3,4718.2,863,4020.3
2013,Austria,4905.2,4743.5,873.5,4031.7
2014,Austria,4832.5,4673.2,662.3,4170.2
2015,Austria,4836,4727.8,676,4160
2016,Austria,4928.4,4825.2,659.4,4269
2017,Austria,5017.6,4944.1,695.6,4322
2000,Belgium,4830,4895,967,3863
2001,Belgium,4802,4644,1005,3797
2002,Belgium,4981,4798,1152,3829
2003,Belgium,4824,4800,1100,3724
2004,Belgium,5059,5004,1164.3,3894.7
2005,Belgium,5052,5188,1188.4,3863.6
2006,Belgium,5115,4990,1198.4,3916.6
2007,Belgium,5243,5454,1200.7,4042.3
2008,Belgium,5119,4936,1102.1,4031.9
2009,Belgium,5021,4827,978.5,4058.5
2010,Belgium,4953,4791,1075.71,3897.29
2011,Belgium,5003,4824,,
2012,Belgium,4944,4717,,
2013,Belgium,4867,4810,,
2014,Belgium,4762,4755,,
2015,Belgium,4643,4644,,
2016,Belgium,4746,4752,,
2017,Belgium,4659,4620,,
2000,Czech Republic,3434,3250,,
2001,Czech Republic,2798,2582,,
2002,Czech Republic,2845,2523,853.52,1991.55
2003,Czech Republic,2857,2475,857.01,1999.68
2004,Czech Republic,2841,2396,852.43,1989
2005,Czech Republic,2954,2495,886.1,2067.58
2006,Czech Republic,3039,2659.22,911.61,2127.09
2007,Czech Republic,3025,2817.37,907.43,2117.35
2008,Czech Republic,3176,2756.66,952.78,2223.15
2009,Czech Republic,3310,2894.47,992.9,2316.77
2010,Czech Republic,3334,3186.39,1000.27,2333.97
2011,Czech Republic,3358,3346.34,1007.36,2350.51
2012,Czech Republic,3233,3232.64,969.79,2262.85
2013,Czech Republic,3228.23,3228.23,964.93,2263.31
2014,Czech Republic,3260.58,3260.58,1020.6,2239.98
2015,Czech Republic,3337.34,3337.34,1095.19,2242.15
2016,Czech Republic,3579.61,3579.61,1246.65,2332.97
2017,Czech Republic,3642.96,3642.96,1269.28,2373.68
2000,Denmark,3546,3546,462,3084
2001,Denmark,3519,3519,436,3083
2002,Denmark,3568,3568,447,3121
2003,Denmark,3618,3618,609,3009
2004,Denmark,3757,3757,594,3163
2005,Denmark,3990,3990,653,3337
2006,Denmark,4021,4021,658,3363
2007,Denmark,4313,4313,706,3607
2008,Denmark,4560,4560,746,3814
2009,Denmark,4206,4206,769,3437
2011,Denmark,4349,4348,1311,3038
2012,Denmark,4421,4421,1217,3204
2013,Denmark,4437,4437,1209,3228
2014,Denmark,4450,4450,1175,3275
2015,Denmark,4485,4485,1249,3236
2016,Denmark,4484,4484,1161,3323
2017,Denmark,4503,4503,1225,3278
2000,Finland,2600,2723.83,1560,1040
2001,Finland,2412,2498.65,1447.2,964.8
2002,Finland,2384.4,2502.69,1430.7,953.8
2003,Finland,2427.9,2517.29,1403.5,1024.4
2004,Finland,2453.4,2532.47,1250.5,1203
2005,Finland,2505.8,2546.68,1277.2,1228.6
2006,Finland,2600.1,2600.1,1325.2,1274.9
2007,Finland,2674.9,2674.92,1174.9,1500
2008,Finland,2768,2832.48,1215.8,1552.2
2009,Finland,2562,2562.43,1125.1,1436.9
2010,Finland,2519,2519,1106.4,1412.6
2011,Finland,2719,2718,1196,1523
2012,Finland,2738,2738,1204.67,1533.33
2013,Finland,2681.55,2681.54,1179.88,1501.67
2014,Finland,2629.88,2629.88,1157.15,1472.73
2015,Finland,2738.28,2738.28,969.35,1768.93
2016,Finland,2767.93,2767.93,968.78,1799.15
2017,Finland,2811.59,2811.59,984.06,1827.53
2000,France,31232,31232,6246,24986
2001,France,32198,32198,6440,25758
2002,France,32684,32684,6537,26147
2003,France,31400,31400,6280,25120
2004,France,32444,32444,6489,25955
2005,France,33366,33366,6673,26693
2006,France,33990,33990,6798,27192
2007,France,34630,34629,7619,27011
2008,France,34714,34714,7638,27076
2009,France,34504,34504,7591,26913
2010,France,34609,34609,7614,26995
2011,France,34790,34790,7654,27136
2012,France,34484,34484,7587,26897
2013,France,34176,34176,7519,26657
2014,France,34230,34230,7531,26699
2015,France,34284,34284,7542,26742
2016,France,34339,34339,7554,26785
2017,France,34393,34393,7565,26828
2000,Germany,52810,52810,12465,40345
2001,Germany,52075,52075,13112,38963
2002,Germany,52772,52771,6112,46660
2003,Germany,49622,49622,5691,43931
2004,Germany,48434,48434,5284,43149
2005,Germany,46555,46555,5143,41412
2006,Germany,46426,46426,5598,40827
2007,Germany,47887,47887,6138,41750
2008,Germany,48367,48367,5152,43215
2009,Germany,48466,48466,5236,43230
2010,Germany,49237,49235,5681,43556
2011,Germany,50237,50237,6193,44045
2012,Germany,49759,49759,13287,36472
2013,Germany,49570,49570,12946,36624
2014,Germany,51102,51102,14214,36888
2015,Germany,51625,51626,14249,37376
2016,Germany,52133,52133,14723,37410
2017,Germany,52342,52342,14068,38274
2000,Greece,4447,4447,,
2001,Greece,4559,4559,,
2002,Greece,4640.1,4640,,
2003,Greece,4710.3,4710.25,,
2004,Greece,4781.5,4781.47,,
2005,Greece,4853,4867.25,,
2006,Greece,4927.1,4927.14,,
2007,Greece,5001.6,5001.63,,
2008,Greece,5077,5077.92,,
2009,Greece,5154,5154,,
2010,Greece,5917,5917,,
2011,Greece,5586,5586,,
2012,Greece,5463,5463,,
2013,Greece,5284,5284,,
2014,Greece,5315,5315,,
2015,Greece,5277,5277,,
2016,Greece,5367,5367,,
2017,Greece,5415,5415,,
2000,Hungary,4552,4157.13,1410,2674
2001,Hungary,4603,4123.09,1537.4,2652
2002,Hungary,4646,4243.17,1604.7,2685
2003,Hungary,4700,4376.03,1510.9,2779.29
2004,Hungary,4591.6,4552,1636.2,2654
2005,Hungary,4646,4606,1684.3,2961.7
2006,Hungary,4711,4671,1733,2978
2007,Hungary,4593.5,4365,1682.5,2911
2008,Hungary,4553,4426,1108,3444
2009,Hungary,4312,4284,1073,3239
2010,Hungary,4033,4033,1190,2844
2011,Hungary,3809,3809,1012,2796
2012,Hungary,3988,3988,1243,2744
2013,Hungary,3738,3738,1021,2717
2014,Hungary,3795,3713,659,3136
2015,Hungary,3712,3710,613,3099
2016,Hungary,3721,3734,512,3209
2017,Hungary,3768,3752,846,2922
2000,Iceland,130,134.5,,
2001,Iceland,133,131.75,,
2002,Iceland,137,134.75,,
2003,Iceland,140,139,,
2004,Iceland,147,,,
2005,Iceland,153,,,
2006,Iceland,171,,,
2007,Iceland,174,,,
2008,Iceland,208,208,,
2009,Iceland,132,132,,
2010,Iceland,154,154,,
2011,Iceland,158,158,,
2012,Iceland,164,165,,
2013,Iceland,167,166,,
2014,Iceland,175,175,,
2015,Iceland,194.6,194.6,,
2016,Iceland,219.9,219.9,,
2000,Ireland,2278.7,2363.9,945.3,1333.4
2001,Ireland,2704,2376.07,1235.2,1468.8
2002,Ireland,2720.4,2464.34,1041.3,1679.1
2003,Ireland,2917.9,2594.4,1213,1704.8
2004,Ireland,3000.6,2703.61,1272.5,1728.2
2005,Ireland,3040.7,2779.1,1303.6,1746.4
2006,Ireland,3384.6,3100.31,1406,1979
2007,Ireland,3397.7,3174.57,1636,1761
2008,Ireland,3224.28,3103.87,1547,1677
2009,Ireland,2952.98,2825.01,1327,1626
2010,Ireland,2846,2621.57,1159.728,1686.387
2011,Ireland,2823,2558,1140.001,1683.241
2012,Ireland,2692.5,2439.45,1115.4,1577.1
2014,Ireland,2619.02,2575.22,1181.55,1437.47
2016,Ireland,2763.17,2718.3,1279.52,1483.64
2000,Italy,28959,28279,,
2001,Italy,29409,27668,,
2002,Italy,29864,25840,,
2003,Italy,30035,25956,,
2004,Italy,31150,26626,,
2005,Italy,31668,26810,,
2006,Italy,32516,27829,,
2007,Italy,32536,29076,,
2008,Italy,32461,28178,,
2009,Italy,32107,29840,,
2010,Italy,32440,30505,,
2011,Italy,31386,29928,,
2012,Italy,29994,28765,,
2013,Italy,29573,28538,,
2014,Italy,29652,27537,,
2015,Italy,29524,27193,,
2016,Italy,30112,27374,,
2017,Italy,29583,26948,,
2000,Japan,54833,54855,17990,36844
2001,Japan,54681,54798,,
2002,Japan,54199,54253,,
2003,Japan,54271,54367,,
2004,Japan,53376,53432,,
2005,Japan,52720,52750,16249,36471
2006,Japan,52024,52072,15804,36220
2007,Japan,50816,50774,15092,35724
2008,Japan,48106,50597,14003,34104
2009,Japan,46252,50397,13278,32974
2010,Japan,45359,49529,12974,32385
2011,Japan,45430,45015,13045,32385
2012,Japan,45234,45047,13097,32137
2013,Japan,44874,44645,13117,31757
2014,Japan,44317,43677,13075,31242
2015,Japan,43981,43382,13046,30935
2016,Japan,43170,42870,12988,30182
2000,Korea,16949.9,16950,2575,14375
2001,Korea,17702.1,17702.14,,
2002,Korea,18214.2,18214,2598,15616
2003,Korea,18518.9,18518.64,,
2004,Korea,18252,18253,3077,15175
2005,Korea,17665,17666,2858,14807
2006,Korea,17828,,2884,14944
2007,Korea,18376,,2838,15538
2008,Korea,19006,19006,3578,15428
2009,Korea,18581,18581,3220,15361
2010,Korea,17943,17943,3007,14936
2011,Korea,17861,17861,2917,14944
2012,Korea,17881,17881,2681,15200
2013,Korea,17786,17786,2988,14798
2014,Korea,18219,18219,2759,15460
2015,Korea,18705,18705,2860,15845
2016,Korea,19627,19627,3034,16593
2000,Luxembourg,285.26,285.26,46.41,238.85
2001,Luxembourg,285.21,285.21,45.23,239.98
2002,Luxembourg,291.29,291.29,46.54,244.75
2003,Luxembourg,306.43,306.43,45.14,261.29
2004,Luxembourg,310.89,310.89,44.96,265.93
2005,Luxembourg,312.76,312.76,43.95,268.81
2006,Luxembourg,322.65,322.65,46.71,275.94
2007,Luxembourg,333.37,333.37,45.7,287.67
2008,Luxembourg,340.69,340.68,45.54,295.15
2009,Luxembourg,338.14,338.14,44.34,293.8
2010,Luxembourg,344.26,344.26,44.24,300.01
2011,Luxembourg,345.33,345.33,44.33,300.99
2012,Luxembourg,346.09,346.09,41.98,304.11
2013,Luxembourg,334.72,334.72,41.44,293.29
2014,Luxembourg,348.15,348.15,42.01,306.14
2015,Luxembourg,345.95,345.95,40.36,305.59
2016,Luxembourg,354.62,354.62,43.72,310.89
2017,Luxembourg,361.89,361.89,44.62,317.27
2000,Mexico,30733,30733.1,7092,23641
2001,Mexico,31488.6,31488.59,7255.6,24233
2002,Mexico,32173.6,32173.67,7413.6,24760
2003,Mexico,32915.7,32915.6,7584.7,25331
2004,Mexico,34604,34604,7974,26630
2005,Mexico,35404.9,35405,8162.9,27242
2006,Mexico,36135,36135,8326,27809
2007,Mexico,36865,36865,8494.2,28370.8
2008,Mexico,37595,37594.6,8645,28950
2009,Mexico,38325,38325,8812.9,29512.1
2010,Mexico,40058.75,40058.75,9213.51,30845.24
2011,Mexico,41062.5,41062.5,9444.38,31618.13
2012,Mexico,42102.75,42102.75,9683.633,32419.118
2000,Netherlands,9529,8121,1168,8361
2001,Netherlands,9550,8141,1177,8373
2002,Netherlands,9684,8313,1224,8460
2003,Netherlands,9504,7778,1161,8343
2004,Netherlands,9746,8009,1169,8577
2005,Netherlands,9769,8034,1157,8612
2006,Netherlands,9761,8049,1124,8637
2007,Netherlands,9922,8254,1150,8771
2008,Netherlands,9868,9868,1147,8722
2009,Netherlands,9738,9738,1169,8569
2010,Netherlands,9484,9484,1111,8373
2011,Netherlands,9479,9479,1154,8325
2012,Netherlands,9203,9203,1071,8132
2013,Netherlands,8840,8840,1054,7786
2014,Netherlands,8894,8894,1043,7851
2015,Netherlands,8866,8867,1040,7826
2016,Netherlands,8858,8859,1010,7846
2017,Netherlands,8787,8786,951,7836
2002,New Zealand,3022,,,
2003,New Zealand,3075,,,
2004,New Zealand,3186,,,
2006,New Zealand,3156,,,
2010,New Zealand,2532,,,
2011,New Zealand,2512,,,
2012,New Zealand,2514,,,
2013,New Zealand,2684,,,
2014,New Zealand,2931,,,
2015,New Zealand,3221,,,
2016,New Zealand,3405,,,
2017,New Zealand,3481,,,
2000,Norway,2755,2755,1303.4,1451.6
2001,Norway,1629,1628.97,122.3,1506.7
2002,Norway,1780,1779.708,167.3,1612.7
2003,Norway,1836,1836.213,165.4,1670.6
2004,Norway,1903,1902.374,156.6,1746.4
2005,Norway,1968,1968.372,124.3,1843.7
2006,Norway,2140,2139.398,200.2,1939.8
2007,Norway,2312,2311.488,278,2034
2008,Norway,2324,2323.562,245,2079
2009,Norway,2269,2268.802,230,2039
2010,Norway,2295,2295.239,207,2088
2011,Norway,2403,2403,220,2183
2012,Norway,2392,2392,219,2172
2013,Norway,2517.96,2517.96,262.96,2255
2014,Norway,2175.44,2175.44,186.03,1989.41
2015,Norway,2187.22,2187.22,182.23,2004.98
2016,Norway,3946.17,3946.17,1952.93,1993.24
2017,Norway,3949.21,3949.21,1977.38,1971.84
2000,Poland,12226,12226,3746,8480
2001,Poland,11109,11108,3061,8048
2002,Poland,10509,10509,2892,7617
2003,Poland,9925,9925,2946,6979
2004,Poland,9759,9715,2991,6768
2005,Poland,12169,9352,2856,8439
2006,Poland,12235,9877,2991,8485
2007,Poland,12264,10083,,9222
2008,Poland,12194,10036,,9170
2009,Poland,12053,10053,,9063
2010,Poland,12032,10040,,
2011,Poland,12129,9828,,
2012,Poland,12084,9581,,
2013,Poland,11295,9474,,
2014,Poland,10330,10330,2091,8240
2015,Poland,10863,10863,1975,8889
2016,Poland,11654,11654,2090,9564
2017,Poland,11969,11969,1997,9971
2000,Portugal,4531.2,4704.56,,
2001,Portugal,4500.7,4709.17,,
2002,Portugal,4595.15,4595.15,,
2003,Portugal,4692.78,4692.78,,
2004,Portugal,4665.19,4665.19,,
2005,Portugal,4745.18,4745.18,,
2006,Portugal,4898.08,4898.08,,
2007,Portugal,4967.27,4967.27,,
2008,Portugal,5471.84,5471.84,,
2009,Portugal,5496.27,5496.27,,
2010,Portugal,5457.14,5457.14,,
2011,Portugal,5177.78,5177.78,,
2012,Portugal,4765.92,4765.92,,
2013,Portugal,4597.94,4597.94,,
